baseId	name	type	cost	rating	offers	picks	pickRate	deckGames	deckWinRate
1	Slimer	creature	1	-0.388	1323	233	0.176	200	0.47
2	Scuttler	creature	1	-2.069	1431	48	0.034	48	0.479
3	Beavrat	creature	1	1.614	1300	740	0.569	536	0.507
4	Plated Toad	creature	2	-1.115	1197	121	0.101	113	0.469
5	Grime Gnasher	creature	2	0.573	1273	422	0.332	325	0.498
6	Murgling	creature	2	0.469	1207	383	0.317	308	0.464
7	Rootkin Sapling	creature	2	3.08	1314	1249	0.951	687	0.508
8	Psyshroom	creature	2	0.958	1340	554	0.413	423	0.494
9	Corrupted Beavrat	creature	3	1.605	1366	782	0.572	507	0.501
10	Carnivorous Bush	creature	3	-2.711	1223	25	0.02	25	0.56
11	Snowsaur	creature	3	1.229	1392	672	0.483	502	0.518
12	Woodshroom	creature	3	0.722	1386	528	0.381	399	0.491
13	Swamp Terror	creature	4	0.192	1259	344	0.273	279	0.498
14	Fanged Lunger	creature	4	-1.612	1260	75	0.06	75	0.533
15	Pouncing Flailmouth	creature	4	0.904	1458	562	0.385	423	0.489
16	Wrangler Fish	creature	4	-1.179	1371	124	0.09	115	0.496
17	Ash Walker	creature	4	1.181	1497	669	0.447	456	0.496
18	Acid Golem	creature	4	2.685	1162	974	0.838	566	0.484
19	Foulbeast	creature	5	1.659	1427	769	0.539	512	0.502
20	Hedge Demon	creature	5	-2.231	1410	50	0.035	46	0.522
21	Crested Scuttler	creature	5	1.184	1360	596	0.438	444	0.495
22	Sigbovak	creature	6	-0.789	1341	191	0.142	160	0.494
23	Titan Cave Hog	creature	7	2.162	1343	903	0.672	596	0.493
24	Exploding Skitterbug	creature	1	-2.588	1420	41	0.029	41	0.512
25	Spiney Chompleaf	creature	2	-0.658	1193	176	0.148	160	0.463
26	Razor Crab	creature	2	0.616	1323	416	0.314	315	0.486
27	Nut Gatherer	creature	2	-1.064	1457	155	0.106	141	0.539
28	Infested Toad	creature	2	2.006	1320	822	0.623	534	0.481
29	Steelplume Nestling	creature	2	2.638	1269	1034	0.815	616	0.508
30	Venomous Bog Hopper	creature	3	-0.276	1223	259	0.212	220	0.518
31	Woodland Hunter	creature	3	-2.797	1369	31	0.023	29	0.414
32	Sandsplat	creature	3	2.579	1380	1101	0.798	649	0.51
33	Chameleskulk	creature	4	2.266	1333	944	0.708	554	0.495
34	Eldritch Cyclops	creature	5	0.164	1262	289	0.229	225	0.458
35	Snail-eyed Hulker	creature	6	-2.159	1354	52	0.038	51	0.51
36	Possessed Skull	creature	6	0.346	1302	381	0.293	308	0.519
37	Eldritch Multiclops	creature	6	2.422	1214	893	0.736	554	0.498
38	Imp	creature	1	-0.552	1476	267	0.181	237	0.481
39	Voracious Imp	creature	1	-0.337	1325	243	0.183	214	0.505
40	Rock Gobbler	creature	3	-1.576	1468	97	0.066	95	0.463
41	Blizzard Demon	creature	3	0.272	1255	346	0.276	258	0.496
42	Flying Leech	creature	4	-2.522	1217	29	0.024	27	0.519
43	Screeching Nightmare	creature	6	-1.681	1390	101	0.073	100	0.46
44	Deathstalker	creature	6	2.675	1165	981	0.842	533	0.501
45	Night Howler	creature	6	-1.108	1243	108	0.087	107	0.533
46	Soul Devourer	creature	9	-1.828	1438	76	0.053	72	0.528
47	Gnipper	creature	2	-0.66	1309	218	0.167	194	0.521
48	Venom Hedgehog	creature	1	2.903	1281	1147	0.895	634	0.5
49	Shiny Prowler	creature	2	2.958	1190	1094	0.919	626	0.495
50	Puff Biter	creature	3	2.389	1247	938	0.752	591	0.489
51	Elite Bilespitter	creature	4	2.992	1180	1080	0.915	624	0.503
52	Bilespitter	creature	4	2.418	1403	1050	0.748	597	0.486
53	Possessed Abomination	creature	4	2.928	1134	1029	0.907	603	0.517
54	Shadow Biter	creature	3	2.199	1327	914	0.689	541	0.521
55	Hermit Slime	creature	2	-3.665	1377	7	0.005	7	0.571
56	Giant Louse	creature	4	-1.177	1132	120	0.106	106	0.481
57	Dream-Eater	creature	4	-2.897	1270	23	0.018	23	0.522
58	Darkscale Predator	creature	6	-1.221	1205	99	0.082	95	0.516
59	Sea Ghost	creature	7	0.126	1222	300	0.245	243	0.527
60	Gritsuck Troll	creature	7	-2.424	1416	39	0.028	38	0.447
61	Alpha Troll	creature	9	0.409	1383	428	0.309	336	0.521
62	Mutant Troll	creature	12	-0.406	1388	254	0.183	216	0.532
63	Rootkin Drone	creature	2	-2.521	1428	33	0.023	31	0.484
64	Coppershell Tortoise	creature	2	2.103	1355	890	0.657	528	0.504
