baseId	decks	self_w	pick_rating
1	4785	-0.0645	-0.39
2	2478	-0.1310	-2.07
3	11408	-0.0143	1.61
4	3302	0.0160	-1.11
5	7416	0.0074	0.57
6	7159	0.0034	0.47
7	17964	0.0238	3.08
8	8796	0.0209	0.96
9	11456	0.0070	1.61
10	2072	-0.1814	-2.71
11	9661	0.0326	1.23
12	7593	-0.0132	0.72
13	6281	0.0115	0.19
14	2744	-0.0643	-1.61
15	8072	0.0072	0.90
16	3177	0.0132	-1.18
17	9485	0.0255	1.18
18	16568	0.0220	2.69
19	11536	0.0195	1.66
20	2231	-0.0269	-2.23
21	9273	0.0091	1.18
22	3972	0.0430	-0.79
23	13710	0.0460	2.16
24	2165	-0.1604	-2.59
25	4104	0.0045	-0.66
26	7464	0.0057	0.62
27	3523	-0.0522	-1.06
28	13132	0.0241	2.01
29	15680	0.0286	2.64
30	5001	-0.0211	-0.28
31	2035	-0.1938	-2.80
32	15685	0.0221	2.58
33	14465	0.0292	2.27
34	6256	0.0294	0.16
35	2431	-0.0055	-2.16
36	6842	0.0244	0.35
37	15307	0.0381	2.42
38	4498	-0.0202	-0.55
39	4939	-0.0390	-0.34
40	2867	-0.1114	-1.58
41	6498	0.0006	0.27
42	2096	-0.1031	-2.52
43	2738	-0.0429	-1.68
44	15892	0.0316	2.68
45	3419	0.0716	-1.11
46	2592	-0.0116	-1.83
47	4294	0.0006	-0.66
48	16991	0.0170	2.90
49	17361	0.0267	2.96
50	14772	0.0159	2.39
51	17866	0.0406	2.99
52	15237	0.0206	2.42
53	17226	0.0298	2.93
54	13987	0.0201	2.20
55	1841	-0.3457	-3.66
56	3335	-0.0441	-1.18
57	2041	-0.1528	-2.90
58	3098	0.0070	-1.22
59	6128	0.0428	0.13
60	2296	-0.0285	-2.42
61	7217	0.0698	0.41
62	4789	0.0676	-0.41
63	2251	-0.2258	-2.52
64	14045	0.0076	2.10
65	18185	0.0226	3.13
66	14533	0.0415	2.37
67	16805	0.0345	2.76
68	18360	0.0477	3.20
69	17575	0.0198	2.93
70	9207	0.0190	1.00
71	3640	-0.0288	-1.02
72	5154	0.0410	-0.27
73	6417	-0.0086	0.27
74	4116	0.0092	-0.74
75	10030	0.0207	1.29
76	3028	-0.0518	-1.52
77	5746	0.0349	0.00
78	2131	-0.0995	-2.85
79	5511	0.0485	-0.07
80	16552	0.0426	2.72
81	9420	0.0287	1.11
82	13781	0.0288	2.19
83	6080	-0.0179	0.16
84	14978	0.0173	2.44
85	13171	-0.0017	1.97
86	5322	0.0263	-0.18
87	12545	0.0010	1.79
88	12285	0.0282	1.69
89	4065	-0.0164	-0.71
90	5157	0.0323	-0.20
91	4346	-0.0162	-0.59
92	1964	-0.2976	-3.75
93	5793	-0.0352	0.03
94	4461	-0.0311	-0.64
95	11790	0.0157	1.73
96	10935	-0.0116	1.50
97	7790	-0.0013	0.70
98	5316	-0.0175	-0.15
99	13225	0.0092	1.88
100	4467	-0.0336	-0.61
101	3113	-0.0527	-1.21
102	2347	-0.0854	-2.28
103	13755	0.0208	2.24
104	7564	0.0085	0.66
105	9905	0.0161	1.29
106	9535	0.0189	1.18
107	2142	-0.0898	-2.52
108	2578	-0.1249	-1.99
109	11637	0.0232	1.66
110	1846	-0.1968	-4.61
111	10089	0.0328	1.33
112	6468	0.0274	0.27
113	2004	-0.2116	-3.40
114	10180	0.0355	1.36
115	11606	0.0551	1.60
116	17279	0.0486	2.88
117	1929	-0.1800	-2.96
118	4026	-0.0475	-0.60
119	3466	-0.0256	-0.89
120	3794	0.0146	-0.74
121	9987	0.0343	1.50
122	4688	-0.0024	-0.25
123	2432	-0.0813	-1.83
124	2043	-0.2194	-2.91
125	2699	-0.0306	-1.52
126	5261	0.0196	-0.12
127	3094	0.0145	-1.19
128	7893	0.0350	0.91
129	8326	0.0381	0.97
130	2298	-0.1150	-2.06
131	2113	-0.0617	-2.43
132	2398	-0.0628	-2.08
133	10766	0.0354	1.62
134	6297	0.0275	0.33
135	7625	0.0336	0.75
136	2528	-0.1000	-1.81
137	3667	0.0055	-0.74
138	1953	-0.1999	-3.50
139	15802	0.0390	2.77
140	1982	-0.1721	-3.41
141	7558	-0.0002	0.87
142	2267	-0.1075	-2.15
143	1834	-0.3233	-4.18
144	8884	0.0051	1.20
145	7128	0.0205	0.63
146	2743	-0.0388	-1.43
147	12035	0.0430	1.92
148	11550	0.0158	1.77
149	3429	0.0086	-0.87
150	10395	0.0261	1.51
151	17157	0.0442	2.98
152	10463	0.0439	1.59
153	1842	-0.3216	-5.24
154	1872	-0.1851	-4.88
155	6085	0.0025	0.35
156	1825	-0.2240	-4.05
157	7739	0.0240	0.76
158	11702	0.0250	1.83
159	3057	-0.0597	-1.14
160	1896	-0.3836	-4.75
